Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1981	SUCCESS	2	46	0.21	0.1	0.31
2396	SUCCESS	2	166	0.21	0.1	0.31
2440	SUCCESS	2	206	0.21	0.1	0.31
1105	SUCCESS	2	286	0.21	0.1	0.31
1319	SUCCESS	2	88	0.21	0.1	0.31
2255	SUCCESS	2	88	0.21	0.1	0.31
2400	SUCCESS	2	168	0.21	0.1	0.31
920	SUCCESS	2	248	0.21	0.1	0.31
1169	SUCCESS	2	9	0.21	0.1	0.31
2401	SUCCESS	2	169	0.21	0.1	0.31
2703	SUCCESS	2	249	0.21	0.1	0.31
2257	SUCCESS	2	90	0.21	0.1	0.31
1593	SUCCESS	2	170	0.21	0.1	0.31
2402	SUCCESS	2	170	0.21	0.1	0.31
2769	SUCCESS	2	290	0.21	0.1	0.31
2885	SUCCESS	2	51	0.21	0.1	0.31
2445	SUCCESS	2	211	0.21	0.1	0.31
2770	SUCCESS	2	291	0.21	0.1	0.31
1894	SUCCESS	2	12	0.21	0.1	0.31
142	SUCCESS	2	52	0.21	0.1	0.31
2933	SUCCESS	2	92	0.21	0.1	0.31
1721	SUCCESS	2	212	0.21	0.1	0.31
1121	SUCCESS	2	292	0.21	0.1	0.31
1181	SUCCESS	2	13	0.21	0.1	0.31
2815	SUCCESS	2	13	0.21	0.1	0.31
1989	SUCCESS	2	53	0.21	0.1	0.31
2405	SUCCESS	2	173	0.21	0.1	0.31
1127	SUCCESS	2	293	0.21	0.1	0.31
1183	SUCCESS	2	14	0.21	0.1	0.31
1903	SUCCESS	2	14	0.21	0.1	0.31
2323	SUCCESS	2	134	0.21	0.1	0.31
2406	SUCCESS	2	174	0.21	0.1	0.31
1729	SUCCESS	2	214	0.21	0.1	0.31
1860	SUCCESS	2	294	0.21	0.1	0.31
2936	SUCCESS	2	95	0.21	0.1	0.31
1730	SUCCESS	2	215	0.21	0.1	0.31
2449	SUCCESS	2	215	0.21	0.1	0.31
1791	SUCCESS	2	255	0.21	0.1	0.31
1190	SUCCESS	2	16	0.21	0.1	0.31
1605	SUCCESS	2	176	0.21	0.1	0.31
